"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-19.0611747670942
0.9,0,2,-19.1806162834452
0.9,0,4,-19.2740916021269
0.9,0,6,-19.3386368913448
0.9,0,8,-19.3724097524908
0.9,0,10,-19.3748659282123
0.9,0,12,-19.3468103333459
0.9,0,14,-19.2903119388259
0.9,0,16,-19.2084996394192
0.9,0,18,-19.1052781262928
0.9,0,20,-18.9850125172925
0.9,0,22,-18.8522270761629
0.9,0,24,-18.7113506644804
0.9,0,26,-18.5665255595193
0.9,0,28,-18.4214820157168
0.9,0,30,-18.2794711598582
0.9,0,32,-18.1432438961709
0.9,0,34,-18.0150624480151
0.9,0,36,-17.896732509783
0.9,0,38,-17.7896464203218
0.9,0,40,-17.6948304001886
0.9,0,42,-17.6129912282846
0.9,0,44,-17.5445595771248
0.9,0,46,-17.489728567304
0.9,0,48,-17.4484870133315
0.9,0,50,-17.4206474144772
0.9,0,52,-17.4058690910595
0.9,0,54,-17.4036770574011
0.9,0,56,-17.4134773165636
0.9,0,58,-17.4345693003275
0.9,0,60,-17.4661561876479
0.9,0,62,-17.5073538318126
0.9,0,64,-17.5571990181508
0.9,0,66,-17.614657761324
0.9,0,68,-17.6786343299443
0.9,0,70,-17.7479816486619
0.9,0,72,-17.8215136635199
0.9,0,74,-17.898020153823
0.9,0,76,-17.9762843225797
0.9,0,78,-18.0551032910286
0.9,0,80,-18.133311360971
0.9,0,82,-18.2098056015032
0.9,0,84,-18.2835729860996
0.9,0,86,-18.353717985664
0.9,0,88,-18.4194892561526
0.9,0,90,-18.4803038918017
0.9,0,92,-18.5357676871979
0.9,0,94,-18.5856899880095
0.9,0,96,-18.6300920117181
0.9,0,98,-18.669207958695
0.9,0,100,-18.7034787574397
0.9,0,102,-18.7335388260101
0.9,0,104,-18.7601967115939
0.9,0,106,-18.7844108296857
0.9,0,108,-18.8072617235145
0.9,0,110,-18.8299222909016
0.9,0,112,-18.8536272936585
0.9,0,114,-18.879643207703
0.9,0,116,-18.9092391342092
0.9,0,118,-18.9436591179352
0.9,0,120,-18.9840958464712
0.9,0,122,-19.0316653612007
0.9,0,124,-19.0873821141858
0.9,0,126,-19.1521334635768
0.9,0,128,-19.2266525183144
0.9,0,130,-19.3114881276947
0.9,0,132,-19.4069707784618
0.9,0,134,-19.5131732436166
0.9,0,136,-19.629865079874
0.9,0,138,-19.7564605841286
0.9,0,140,-19.8919607205775
0.9,0,142,-20.0348909804064
0.9,0,144,-20.1832393065314
0.9,0,146,-20.3344012273201
0.9,0,148,-20.4851431457466
0.9,0,150,-20.6315989131781
0.9,0,152,-20.7693183694311
0.9,0,154,-20.8933876630714
0.9,0,156,-20.9986374188901
0.9,0,158,-21.0799437819154
0.9,0,160,-21.1326081883742
0.9,0,162,-21.152777037377
0.9,0,164,-21.1378394833855
0.9,0,166,-21.0867306055013
0.9,0,168,-21.0000767379466
0.9,0,170,-20.8801505819192
0.9,0,172,-20.7306464408984
0.9,0,174,-20.5563247897803
0.9,0,176,-20.3625967507286
0.9,0,178,-20.155118232413
0.9,0,180,-19.9394455642956
2.4,0,0,-9.09598590184114
2.4,0,2,-9.57260045485447
2.4,0,4,-10.0467228801413
2.4,0,6,-10.4360475831892
2.4,0,8,-10.6164781240261
2.4,0,10,-10.4614108604333
2.4,0,12,-9.91755437653712
2.4,0,14,-9.0463992395359
2.4,0,16,-7.97876241401678
2.4,0,18,-6.84066529275347
2.4,0,20,-5.71796947775859
2.4,0,22,-4.65794092162791
2.4,0,24,-3.68225352960174
2.4,0,26,-2.79822954829796
2.4,0,28,-2.00590650744089
2.4,0,30,-1.30195054695273
2.4,0,32,-0.681688022883412
2.4,0,34,-0.14011067117515
2.4,0,36,0.327657732512535
2.4,0,38,0.726171437826315
2.4,0,40,1.05961227452452
2.4,0,42,1.33180730594785
2.4,0,44,1.54627756371119
2.4,0,46,1.70629877133032
2.4,0,48,1.81496432225166
2.4,0,50,1.87524563574758
2.4,0,52,1.89004746962164
2.4,0,54,1.86225691069693
2.4,0,56,1.79478516663328
2.4,0,58,1.69060125846883
2.4,0,60,1.5527564478516
2.4,0,62,1.38439785866738
2.4,0,64,1.18876939270524
2.4,0,66,0.969197831509376
2.4,0,68,0.729062123456765
2.4,0,70,0.471744449415764
2.4,0,72,0.200562889063077
2.4,0,74,-0.0813125683817247
2.4,0,76,-0.370956415773658
2.4,0,78,-0.665789399103715
2.4,0,80,-0.963676164184232
2.4,0,82,-1.26300775391071
2.4,0,84,-1.5627579601862
2.4,0,86,-1.86250437424992
2.4,0,88,-2.16240836834241
2.4,0,90,-2.46315237860912
2.4,0,92,-2.7658365966634
2.4,0,94,-3.07183936788716
2.4,0,96,-3.38264544220426
2.4,0,98,-3.69964350811156
2.4,0,100,-4.02388958889335
2.4,0,102,-4.35582697838535
2.4,0,104,-4.69494835565171
2.4,0,106,-5.03938481017546
2.4,0,108,-5.38541532878889
2.4,0,110,-5.72691782560333
2.4,0,112,-6.05484094158141
2.4,0,114,-6.35687340835743
2.4,0,116,-6.61761241741616
2.4,0,118,-6.8196187634816
2.4,0,120,-6.945655322193
2.4,0,122,-6.98198720534341
2.4,0,124,-6.92192467974475
2.4,0,126,-6.76825316640093
2.4,0,128,-6.53341756002852
2.4,0,130,-6.23737544191751
2.4,0,132,-5.9041501650182
2.4,0,134,-5.55847035763531
2.4,0,136,-5.22342019618894
2.4,0,138,-4.9193141510636
2.4,0,140,-4.6635416399231
2.4,0,142,-4.47099807219304
2.4,0,144,-4.35479268790566
2.4,0,146,-4.32705380624443
2.4,0,148,-4.39976478994494
2.4,0,150,-4.58564431248963
2.4,0,152,-4.89914452232048
2.4,0,154,-5.35770120505486
2.4,0,156,-5.98345646947864
2.4,0,158,-6.80582089737336
2.4,0,160,-7.86549216487187
2.4,0,162,-9.22089425525753
2.4,0,164,-10.9578667752709
2.4,0,166,-13.1976772704169
2.4,0,168,-16.0455811337984
2.4,0,170,-19.0435068562448
2.4,0,172,-19.5455064503732
2.4,0,174,-16.9539204877351
2.4,0,176,-14.1897070943672
2.4,0,178,-12.0315406399473
2.4,0,180,-10.4110796105992
4,0,0,-8.47204849622875
4,0,2,-8.50580498060719
4,0,4,-8.83637898938014
4,0,6,-9.35847464814704
4,0,8,-9.8891748477286
4,0,10,-10.1855566369426
4,0,12,-10.078960836987
4,0,14,-9.62242218988724
4,0,16,-9.02860523544754
4,0,18,-8.49465304216944
4,0,20,-8.12391523152093
4,0,22,-7.93208840656869
4,0,24,-7.86417463976128
4,0,26,-7.80430993710903
4,0,28,-7.60156732030437
4,0,30,-7.13782808199015
4,0,32,-6.40295956327072
4,0,34,-5.49279887679018
4,0,36,-4.5341063522216
4,0,38,-3.62339763180814
4,0,40,-2.81316942398685
4,0,42,-2.122609162172
4,0,44,-1.55121878168335
4,0,46,-1.08860986672921
4,0,48,-0.720546800396181
4,0,50,-0.432557458473415
4,0,52,-0.212069584123048
4,0,54,-0.0495643538845721
4,0,56,0.0610206176923642
4,0,58,0.12248267771364
4,0,60,0.134969464562613
4,0,62,0.0968263260991533
4,0,64,0.00549875181750728
4,0,66,-0.141636270258574
4,0,68,-0.346572510624238
4,0,70,-0.610120585657933
4,0,72,-0.931478649166389
4,0,74,-1.3079019691237
4,0,76,-1.73445661251483
4,0,78,-2.2038644352651
4,0,80,-2.70647340650823
4,0,82,-3.23041152545533
4,0,84,-3.76199365446717
4,0,86,-4.28643566117432
4,0,88,-4.78888015546688
4,0,90,-5.25565726748629
4,0,92,-5.67561669027092
4,0,94,-6.04130973786657
4,0,96,-6.34979805783001
4,0,98,-6.60291707007314
4,0,100,-6.80690570008281
4,0,102,-6.97140978275895
4,0,104,-7.10796234792418
4,0,106,-7.22812424189684
4,0,108,-7.34151676886025
4,0,110,-7.45400088326686
4,0,112,-7.56629678574815
4,0,114,-7.67343827634213
4,0,116,-7.76558792432894
4,0,118,-7.83071483385753
4,0,120,-7.85914585246889
4,0,122,-7.84893902698636
4,0,124,-7.80999002719694
4,0,126,-7.76489169643224
4,0,128,-7.74616325788116
4,0,130,-7.79124610546387
4,0,132,-7.93698872897385
4,0,134,-8.21396166908136
4,0,136,-8.63863152979362
4,0,138,-9.19875836463535
4,0,140,-9.82608696360796
4,0,142,-10.3612359659601
4,0,144,-10.5633757617587
4,0,146,-10.2548496540207
4,0,148,-9.50205165144426
4,0,150,-8.55766175501571
4,0,152,-7.66208770314723
4,0,154,-6.96158900022246
4,0,156,-6.52911952007656
4,0,158,-6.39916038912467
4,0,160,-6.58765983302215
4,0,162,-7.09649751702625
4,0,164,-7.90174951819433
4,0,166,-8.91780152912322
4,0,168,-9.93513020337071
4,0,170,-10.6069422200816
4,0,172,-10.6728213505035
4,0,174,-10.2624832604227
4,0,176,-9.75149329683909
4,0,178,-9.44047875077731
4,0,180,-9.48441875818453
6,0,0,-10.3950695337265
6,0,2,-9.85508327907988
6,0,4,-9.51221227489252
6,0,6,-9.27568433446345
6,0,8,-9.07439049874056
6,0,10,-8.88337087511785
6,0,12,-8.72024343788899
6,0,14,-8.61560919108184
6,0,16,-8.58381640935246
6,0,18,-8.61405686623221
6,0,20,-8.68379869728169
6,0,22,-8.78364815494589
6,0,24,-8.93512760732182
6,0,26,-9.187522220614
6,0,28,-9.59700691881152
6,0,30,-10.1998488899673
6,0,32,-10.9810163893153
6,0,34,-11.8253297328383
6,0,36,-12.4567426622928
6,0,38,-12.4884043730135
6,0,40,-11.7415998676111
6,0,42,-10.450201939579
6,0,44,-8.97552725185716
6,0,46,-7.54761673650461
6,0,48,-6.26382277362573
6,0,50,-5.15349044822568
6,0,52,-4.21932366402855
6,0,54,-3.45637451465812
6,0,56,-2.85962034394205
6,0,58,-2.42594511985358
6,0,60,-2.15324378984454
6,0,62,-2.0382673857803
6,0,64,-2.07431251557198
6,0,66,-2.24941582082208
6,0,68,-2.54537590128613
6,0,70,-2.93780029181593
6,0,72,-3.39743394328014
6,0,74,-3.8930726164729
6,0,76,-4.39609543006656
6,0,78,-4.88587644367145
6,0,80,-5.3543831051513
6,0,82,-5.80804932723499
6,0,84,-6.26613344512743
6,0,86,-6.75652940450226
6,0,88,-7.31093905271141
6,0,90,-7.96087053131722
6,0,92,-8.73477962023131
6,0,94,-9.65561401832538
6,0,96,-10.737146482637
6,0,98,-11.9762930537819
6,0,100,-13.336730657332
6,0,102,-14.7188910667577
6,0,104,-15.9264136110194
6,0,106,-16.6929048725619
6,0,108,-16.8492676675076
6,0,110,-16.4832595358117
6,0,112,-15.8414704629364
6,0,114,-15.1381080473076
6,0,116,-14.493857609791
6,0,118,-13.9604329157455
6,0,120,-13.5524989938227
6,0,122,-13.2685517818428
6,0,124,-13.1037979952185
6,0,126,-13.0569623546012
6,0,128,-13.1291903990198
6,0,130,-13.3109406643296
6,0,132,-13.5507402264186
6,0,134,-13.7061757601381
6,0,136,-13.5292609535329
6,0,138,-12.8157574137843
6,0,140,-11.6470222824568
6,0,142,-10.3411298784912
6,0,144,-9.19630852489142
6,0,146,-8.38744796698539
6,0,148,-7.99691465308841
6,0,150,-8.0568147895976
6,0,152,-8.56418172515667
6,0,154,-9.46055793582408
6,0,156,-10.5635375700912
6,0,158,-11.4913329391833
6,0,160,-11.8318267496145
6,0,162,-11.6094274953374
6,0,164,-11.2394491343175
6,0,166,-11.0243538311923
6,0,168,-10.9685286484973
6,0,170,-10.8592927565724
6,0,172,-10.5010513609612
6,0,174,-9.9749335011447
6,0,176,-9.58495892343063
6,0,178,-9.62037795578613
6,0,180,-10.2590246528279
