"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,-94.5674071574806
0.9,0,2,-92.4778109271057
0.9,0,4,-90.2993759489079
0.9,0,6,-88.030787868946
0.9,0,8,-85.6715163391848
0.9,0,10,-83.221986725856
0.9,0,12,-80.6837549732065
0.9,0,14,-78.0596757175725
0.9,0,16,-75.354051070296
0.9,0,18,-72.5727453761305
0.9,0,20,-69.7232502862796
0.9,0,22,-66.8146852593144
0.9,0,24,-63.8577215854778
0.9,0,26,-60.864423376515
0.9,0,28,-57.8480063610726
0.9,0,30,-54.8225239243278
0.9,0,32,-51.8024983251602
0.9,0,34,-48.8025219077583
0.9,0,36,-45.8368570552149
0.9,0,38,-42.9190638030498
0.9,0,40,-40.0616804040336
0.9,0,42,-37.2759754572207
0.9,0,44,-34.5717817918977
0.9,0,46,-31.9574136399267
0.9,0,48,-29.4396610737724
0.9,0,50,-27.0238501303556
0.9,0,52,-24.7139538439225
0.9,0,54,-22.5127384552677
0.9,0,56,-20.4219299042396
0.9,0,58,-18.4423877555799
0.9,0,60,-16.574276368984
0.9,0,62,-14.8172259207751
0.9,0,64,-13.170478479843
0.9,0,66,-11.6330165411319
0.9,0,68,-10.2036731498427
0.9,0,70,-8.88122401443575
0.9,0,72,-7.66446286063329
0.9,0,74,-6.55226179776747
0.9,0,76,-5.54361873226651
0.9,0,78,-4.63769394275946
0.9,0,80,-3.83383788673994
0.9,0,82,-3.13161218582123
0.9,0,84,-2.53080556841781
0.9,0,86,-2.03144635744394
0.9,0,88,-1.63381288991069
0.9,0,90,-1.33844305210278
0.9,0,92,-1.14614391032587
0.9,0,94,-1.05800221127488
0.9,0,96,-1.07539631310981
0.9,0,98,-1.20000988091184
0.9,0,100,-1.43384742824928
0.9,0,102,-1.77925149715363
0.9,0,104,-2.23892092564357
0.9,0,106,-2.81592923510613
0.9,0,108,-3.51374165554797
0.9,0,110,-4.33622866767089
0.9,0,112,-5.28767314765974
0.9,0,114,-6.37276722583155
0.9,0,116,-7.59659379462844
0.9,0,118,-8.96458622588757
0.9,0,120,-10.4824583223571
0.9,0,122,-12.1560949425889
0.9,0,124,-13.9913923177206
0.9,0,126,-15.9940361956338
0.9,0,128,-18.1692061807921
0.9,0,130,-20.521196801126
0.9,0,132,-23.0529509497371
0.9,0,134,-25.7655105065889
0.9,0,136,-28.6574029647726
0.9,0,138,-31.7240017555092
0.9,0,140,-34.95692008385
0.9,0,142,-38.3435195432715
0.9,0,144,-41.8666291547048
0.9,0,146,-45.5045698032256
0.9,0,148,-49.2315563382949
0.9,0,150,-53.0185026209422
0.9,0,152,-56.8341894498506
0.9,0,154,-60.646686270654
0.9,0,156,-64.4248645063585
0.9,0,158,-68.1398202697431
0.9,0,160,-71.7660439268935
0.9,0,162,-75.2822268026947
0.9,0,164,-78.6716642921502
0.9,0,166,-81.9222801141674
0.9,0,168,-85.0263436514764
0.9,0,170,-87.9799752682215
0.9,0,172,-90.7825353614918
0.9,0,174,-93.4359786435302
0.9,0,176,-95.9442337434365
0.9,0,178,-98.3126460997063
0.9,0,180,-100.547503221668
2.4,0,0,-99.8553711964787
2.4,0,2,-95.3919810177616
2.4,0,4,-91.1210189404918
2.4,0,6,-87.0074997010446
2.4,0,8,-82.9960310548904
2.4,0,10,-79.0191148884427
2.4,0,12,-75.0007673982922
2.4,0,14,-70.8570743197033
2.4,0,16,-66.4949176438062
2.4,0,18,-61.8099114127759
2.4,0,20,-56.6847727001169
2.4,0,22,-50.9901184286163
2.4,0,24,-44.5911797730278
2.4,0,26,-37.3659130580632
2.4,0,28,-29.2406713841556
2.4,0,30,-20.2440780928295
2.4,0,32,-10.5618296932153
2.4,0,34,-0.550668571492377
2.4,0,36,9.32795187828337
2.4,0,38,18.6369805493264
2.4,0,40,27.0767581351939
2.4,0,42,34.5196716723393
2.4,0,44,40.9751839290043
2.4,0,46,46.5314849191028
2.4,0,48,51.3072786357122
2.4,0,50,55.4228123257034
2.4,0,52,58.9863227789883
2.4,0,54,62.0896422834796
2.4,0,56,64.8082918289633
2.4,0,58,67.203367069972
2.4,0,60,69.3238826585662
2.4,0,62,71.2089986967637
2.4,0,64,72.8899280626701
2.4,0,66,74.391491634485
2.4,0,68,75.7333551788381
2.4,0,70,76.9310020823796
2.4,0,72,77.9964970378726
2.4,0,74,78.9390895215468
2.4,0,76,79.7656976245999
2.4,0,78,80.4813044859389
2.4,0,80,81.0892917915803
2.4,0,82,81.5917276455538
2.4,0,84,81.9896195840492
2.4,0,86,82.2831376853802
2.4,0,88,82.4718078137983
2.4,0,90,82.554671265473
2.4,0,92,82.5304046559395
2.4,0,94,82.3973928546145
2.4,0,96,82.153747979509
2.4,0,98,81.7972685353119
2.4,0,100,81.325334147162
2.4,0,102,80.7347323423836
2.4,0,104,80.0214137795717
2.4,0,106,79.18017058508
2.4,0,108,78.2042284630954
2.4,0,110,77.0847364496861
2.4,0,112,75.8101279574879
2.4,0,114,74.3653122703185
2.4,0,116,72.7306357335629
2.4,0,118,70.8805250581898
2.4,0,120,68.7816899777551
2.4,0,122,66.3907190167793
2.4,0,124,63.6508560927257
2.4,0,126,60.4877198411238
2.4,0,128,56.8037903842
2.4,0,130,52.4718224268766
2.4,0,132,47.3283934882381
2.4,0,134,41.1715154769591
2.4,0,136,33.7721869213801
2.4,0,138,24.9195569829755
2.4,0,140,14.5251051998977
2.4,0,142,2.78186342694502
2.4,0,144,-9.72456387789199
2.4,0,146,-22.1328435097073
2.4,0,148,-33.6521586943929
2.4,0,150,-43.8469782057396
2.4,0,152,-52.6541128582915
2.4,0,154,-60.2343368537571
2.4,0,156,-66.8283831544663
2.4,0,158,-72.6771914384132
2.4,0,160,-77.9925332432649
2.4,0,162,-82.9528811030985
2.4,0,164,-87.7086397549989
2.4,0,166,-92.3893579363089
2.4,0,168,-97.1099726274625
2.4,0,170,-101.974867214643
2.4,0,172,-107.078909988967
2.4,0,174,-112.504464253248
2.4,0,176,-118.313168009904
2.4,0,178,-124.531730680097
2.4,0,180,-131.132977834559
4,0,0,-102.27983260273
4,0,2,-99.3583973606138
4,0,4,-95.3126357349317
4,0,6,-90.1009628572999
4,0,8,-83.7293863166816
4,0,10,-76.3018455264641
4,0,12,-68.0624303701348
4,0,14,-59.3896699294152
4,0,16,-50.7178574093494
4,0,18,-42.4159309586569
4,0,20,-34.6931874542843
4,0,22,-27.5691988267238
4,0,24,-20.8814790553915
4,0,26,-14.2663197185093
4,0,28,-7.00697275375826
4,0,30,2.57636471770683
4,0,32,19.8023267541674
4,0,34,63.8736275645667
4,0,36,121.35301568828
4,0,38,144.373714750317
4,0,40,154.298660622696
4,0,42,159.90703692744
4,0,44,163.59684413299
4,0,46,166.224235646704
4,0,48,168.1608430651
4,0,50,169.588466980904
4,0,52,170.601351539771
4,0,54,171.247568846831
4,0,56,171.547472006438
4,0,58,171.502306037246
4,0,60,171.098296318216
4,0,62,170.308890525399
4,0,64,169.09701662424
4,0,66,167.419206218491
4,0,68,165.233803170777
4,0,70,162.515799726835
4,0,72,159.280217323466
4,0,74,155.612809351998
4,0,76,151.699973727218
4,0,78,147.841505035718
4,0,80,144.428899859226
4,0,82,141.886338542999
4,0,84,140.592360908779
4,0,86,140.805119537474
4,0,88,142.599822896275
4,0,90,145.821695879802
4,0,92,150.080104413308
4,0,94,154.825068565229
4,0,96,159.500356099845
4,0,98,163.689642295458
4,0,100,167.17368050751
4,0,102,169.898682437317
4,0,104,171.910377243704
4,0,106,173.297293972482
4,0,108,174.156298544244
4,0,110,174.576262660396
4,0,112,174.632260545367
4,0,114,174.384576633874
4,0,116,173.879267658574
4,0,118,173.148699275413
4,0,120,172.211349405734
4,0,122,171.070459874383
4,0,124,169.71094860978
4,0,126,168.093278899965
4,0,128,166.141215915183
4,0,130,163.71594881671
4,0,132,160.556483801472
4,0,134,156.124987496159
4,0,136,149.133440567515
4,0,138,135.747949819947
4,0,140,102.540820286764
4,0,142,45.0055009099165
4,0,144,14.9394313545169
4,0,146,1.89039262095293
4,0,148,-5.92322606708756
4,0,150,-11.8943300381737
4,0,152,-17.2615029473978
4,0,154,-22.6354052826142
4,0,156,-28.4149037831929
4,0,158,-34.9228400147025
4,0,160,-42.4401659756724
4,0,162,-51.1722833545886
4,0,164,-61.1486909554738
4,0,166,-72.090445732519
4,0,168,-83.3676213119557
4,0,170,-94.177343345173
4,0,172,-103.860672563982
4,0,174,-112.096776509625
4,0,176,-118.871632853052
4,0,178,-124.342517965308
4,0,180,-128.724388423896
6,0,0,10.6778416828544
6,0,2,16.207433708067
6,0,4,21.8603904965082
6,0,6,27.5973342437574
6,0,8,33.4449908701057
6,0,10,39.5697320512658
6,0,12,46.3112329905955
6,0,14,54.1910478661818
6,0,16,63.8888029233736
6,0,18,76.1147912479243
6,0,20,91.2161759617511
6,0,22,108.501884621722
6,0,24,126.081395402163
6,0,26,142.079169727527
6,0,28,155.896088958734
6,0,30,168.144901891527
6,0,32,-179.913758003543
6,0,34,-166.666716431887
6,0,36,-150.428865995888
6,0,38,-130.56696156693
6,0,40,-109.343010900751
6,0,42,-90.6554929390919
6,0,44,-76.1838900975194
6,0,46,-65.337922843517
6,0,48,-57.0530528313301
6,0,50,-50.439442154727
6,0,52,-44.716947399489
6,0,54,-39.0486983145267
6,0,56,-32.3865354732537
6,0,58,-23.1972917186643
6,0,60,-8.67920959235321
6,0,62,17.2825441922906
6,0,64,60.7961476567077
6,0,66,101.081097402499
6,0,68,124.275906413522
6,0,70,138.01821451211
6,0,72,147.232934815606
6,0,74,154.146732259236
6,0,76,160.027442067521
6,0,78,165.804982314289
6,0,80,172.334713512807
6,0,82,-179.402491235809
6,0,84,-168.103879138406
6,0,86,-152.241997821298
6,0,88,-131.589173991626
6,0,90,-109.93836137798
6,0,92,-92.5170551895443
6,0,94,-80.6333916478864
6,0,96,-72.939780125306
6,0,98,-67.9520098482027
6,0,100,-64.6701572841309
6,0,102,-62.4994687977509
6,0,104,-61.1078701411379
6,0,106,-60.3182518681692
6,0,108,-60.0303780979384
6,0,110,-60.1681376754462
6,0,112,-60.653630679913
6,0,114,-61.406165976738
6,0,116,-62.3578760476535
6,0,118,-63.4748972785793
6,0,120,-64.7749702772009
6,0,122,-66.3368773524141
6,0,124,-68.3024325151641
6,0,126,-70.87643703732
6,0,128,-74.3331305274303
6,0,130,-79.0389110721388
6,0,132,-85.4996599509813
6,0,134,-94.4277323665103
6,0,136,-106.756024294778
6,0,138,-123.304073714558
6,0,140,-143.612278973852
6,0,142,-164.884309340029
6,0,144,176.116894989556
6,0,146,160.415989144034
6,0,148,147.281467929866
6,0,150,135.577052866605
6,0,152,124.279369205279
6,0,154,112.52610164876
6,0,156,99.6301980048516
6,0,158,85.2503891454919
6,0,160,69.6975435980002
6,0,162,53.9801527399256
6,0,164,39.1906149980282
6,0,166,25.7623419208484
6,0,168,13.3926046516615
6,0,170,1.48347743081127
6,0,172,-10.3810792612006
6,0,174,-22.1501886040157
6,0,176,-33.3637115537002
6,0,178,-43.5521519754668
6,0,180,-52.6382706646632
